,r,d,t,x,y,z
316,1.7999999999999998,2.5999999999999996,110,-0.8892523726467385,0,2.4432008140433616
317,1.7999999999999998,2.5999999999999996,115,-1.0988074805258181,0,2.3564002462952898
318,1.7999999999999998,2.5999999999999996,120,-1.2999999999999992,0,2.2516660498395407
319,1.7999999999999998,2.8,70,0.9576564013118727,0,2.6311393382005432
320,1.7999999999999998,2.8,75,0.7246933262870581,0,2.7045923136093912
321,1.7999999999999998,2.8,80,0.48621489746740515,0,2.757461708434182
322,1.7999999999999998,2.8,85,0.24403607969344274,0,2.7893451546568873
323,1.7999999999999998,2.8,90,1.7145055188062944e-16,0,2.8
324,1.7999999999999998,2.8,95,-0.24403607969344304,0,2.7893451546568873
325,1.7999999999999998,2.8,100,-0.4862148974674048,0,2.757461708434182
326,1.7999999999999998,2.8,105,-0.7246933262870583,0,2.7045923136093912
327,1.7999999999999998,2.8,110,-0.9576564013118724,0,2.6311393382005432
328,1.7999999999999998,2.8,115,-1.183331132873958,0,2.53766180370262
329,1.7999999999999998,2.8,120,-1.3999999999999992,0,2.4248711305964283
330,1.9999999999999998,1.9999999999999998,70,0.6840402866513375,0,1.8793852415718164
331,1.9999999999999998,1.9999999999999998,75,0.5176380902050414,0,1.9318516525781364
332,1.9999999999999998,1.9999999999999998,80,0.3472963553338608,0,1.9696155060244158
333,1.9999999999999998,1.9999999999999998,85,0.17431148549531622,0,1.9923893961834909
334,1.9999999999999998,1.9999999999999998,90,1.224646799147353e-16,0,1.9999999999999998
335,1.9999999999999998,1.9999999999999998,95,-0.17431148549531644,0,1.9923893961834909
336,1.9999999999999998,1.9999999999999998,100,-0.34729635533386055,0,1.9696155060244158
337,1.9999999999999998,1.9999999999999998,105,-0.5176380902050416,0,1.9318516525781364
338,1.9999999999999998,1.9999999999999998,110,-0.6840402866513373,0,1.8793852415718166
339,1.9999999999999998,1.9999999999999998,115,-0.8452365234813985,0,1.8126155740732999
340,1.9999999999999998,1.9999999999999998,120,-0.9999999999999994,0,1.7320508075688774
341,1.9999999999999998,2.1999999999999997,70,0.7524443153164713,0,2.067323765728998
342,1.9999999999999998,2.1999999999999997,75,0.5694018992255455,0,2.12503681783595
343,1.9999999999999998,2.1999999999999997,80,0.38202599086724687,0,2.166577056626857
344,1.9999999999999998,2.1999999999999997,85,0.19174263404484784,0,2.19162833580184
345,1.9999999999999998,2.1999999999999997,90,1.3471114790620883e-16,0,2.1999999999999997
346,1.9999999999999998,2.1999999999999997,95,-0.1917426340448481,0,2.19162833580184
347,1.9999999999999998,2.1999999999999997,100,-0.38202599086724665,0,2.166577056626857
348,1.9999999999999998,2.1999999999999997,105,-0.5694018992255458,0,2.12503681783595
349,1.9999999999999998,2.1999999999999997,110,-0.752444315316471,0,2.0673237657289985
350,1.9999999999999998,2.1999999999999997,115,-0.9297601758295384,0,1.9938771314806298
351,1.9999999999999998,2.1999999999999997,120,-1.0999999999999994,0,1.905255888325765
352,1.9999999999999998,2.3999999999999995,70,0.820848343981605,0,2.2552622898861796
353,1.9999999999999998,2.3999999999999995,75,0.6211657082460497,0,2.3182219830937636
354,1.9999999999999998,2.3999999999999995,80,0.4167556264006329,0,2.3635386072292985
355,1.9999999999999998,2.3999999999999995,85,0.20917378259437946,0,2.390867275420189
356,1.9999999999999998,2.3999999999999995,90,1.4695761589768236e-16,0,2.3999999999999995
357,1.9999999999999998,2.3999999999999995,95,-0.20917378259437971,0,2.390867275420189
358,1.9999999999999998,2.3999999999999995,100,-0.41675562640063263,0,2.3635386072292985
359,1.9999999999999998,2.3999999999999995,105,-0.6211657082460499,0,2.3182219830937636
360,1.9999999999999998,2.3999999999999995,110,-0.8208483439816048,0,2.2552622898861796
